artist rymrat prat reviews
"The Stone Roses" 3.99 11,503 576
"Sufjan Stevens" 3.98 10,606 253
"Joni Mitchell" 4.02 8,733 344
"Jethro Tull" 4.03 7,862 310
"Sigur Rós" 3.92 12,307 397
"Bruce Springsteen" 3.98 9,320 427
"The Jimi Hendrix Experience" 4.02 10,210 381
Kraftwerk 3.99 8,741 240
"Curtis Mayfield" 4.11 5,686 191
"The Doors" 3.97 11,072 342
Tool 3.92 12,777 592
"Prince and The Revolution" 4.06 9,436 378
"Tom Waits" 4.03 8,740 218
"The Cure" 3.98 11,282 320
"Iron Maiden" 3.94 12,020 547
Opeth 3.94 10,701 448
Björk 3.97 10,813 284
"The Flaming Lips" 3.90 12,946 446
"The Microphones" 4.00 10,272 250
"Black Sabbath" 4.00 10,372 385
"The Rolling Stones" 4.03 9,499 377
"Rage Against the Machine" 3.89 13,662 581
"Nick Drake" 3.98 9,963 318
"Deep Purple" 3.99 8,832 397
Yes 3.96 10,230 389
"John Coltrane" 4.05 7,249 172
"Steve Reich" 4.07 5,159 168
"Kanye West" 3.88 13,596 378
"Fleetwood Mac" 3.98 10,960 475
"Gang of Four" 3.98 9,184 312
"Joanna Newsom" 3.91 9,971 477
Wire 3.98 10,033 335
"Built to Spill" 4.01 7,745 190
"The Avalanches" 3.92 10,854 309
"Danny Brown" 3.96 8,996 166
"Pharoah Sanders" 4.08 4,659 178
Kyuss 3.98 8,871 292
"Cocteau Twins" 3.98 8,593 239
R.E.M. 3.95 9,882 377
Metallica 3.83 15,253 771
"The Smashing Pumpkins" 3.87 13,302 647
"Eric Dolphy" 4.03 5,763 173
"Mobb Deep" 4.05 5,960 252
Weezer 3.91 15,920 614
"The Notorious B.I.G." 4.00 7,895 311
"Queens of the Stone Age" 3.90 14,261 410
"Michael Jackson" 3.91 10,623 514
Eno 3.97 8,253 281
"Dead Kennedys" 3.99 9,219 334
"Alice in Chains" 3.91 11,739 568
"Angelo Badalamenti" 4.10 5,102 111
"Ennio Morricone" 4.14 3,211 102
Radiohead 3.70 22,113 727
"Pearl Jam" 3.82 14,561 684
"Iron Maiden" 3.97 8,531 342
"Public Enemy" 3.95 8,324 311
"Beastie Boys" 3.93 9,053 319
"Jethro Tull" 3.94 9,123 342
Portishead 3.86 10,730 460
"Judas Priest" 3.99 6,855 344
Funkadelic 3.97 7,935 267
"Curtis Mayfield" 4.06 4,321 124
"The Strokes" 3.84 17,286 710
"The Sonic Youth" 3.94 9,627 236
"Ornette Coleman" 4.02 5,464 166
"Black Sabbath" 3.95 10,119 362
"Van Morrison" 4.01 6,833 281
Comus 3.99 6,108 273
Rush 3.91 9,437 370
